,stock_code,stock_name,stock_inner_code,index_code,index_name
0,000001,平安银行股份有限公司,3,000300,沪深300指数
1,000002,万科企业股份有限公司,6,000300,沪深300指数
2,000063,中兴通讯股份有限公司,105,000300,沪深300指数
3,000100,TCL科技集团股份有限公司,118,000300,沪深300指数
4,000157,中联重科股份有限公司,124,000300,沪深300指数
5,000301,江苏东方盛虹股份有限公司,141,000300,沪深300指数
6,000408,藏格矿业股份有限公司,155,000300,沪深300指数
7,000425,徐工集团工程机械股份有限公司,172,000300,沪深300指数
8,000538,云南白药集团股份有限公司,222,000300,沪深300指数
9,000568,泸州老窖股份有限公司,256,000300,沪深300指数
10,000596,安徽古井贡酒股份有限公司,282,000300,沪深300指数
11,000617,中国石油集团资本股份有限公司,303,000300,沪深300指数
12,000625,重庆长安汽车股份有限公司,311,000300,沪深300指数
13,000630,铜陵有色金属集团股份有限公司,318,000300,沪深300指数
14,000651,珠海格力电器股份有限公司,329,000300,沪深300指数
15,000661,长春高新技术产业(集团)股份有限公司,338,000300,沪深300指数
16,000708,中信泰富特钢集团股份有限公司,382,000300,沪深300指数
17,000725,京东方科技集团股份有限公司,397,000300,沪深300指数
18,000768,中航西安飞机工业集团股份有限公司,433,000300,沪深300指数
19,000776,广发证券股份有限公司,435,000300,沪深300指数
20,000786,北新集团建材股份有限公司,443,000300,沪深300指数
21,000792,青海盐湖工业股份有限公司,449,000300,沪深300指数
22,000800,一汽解放集团股份有限公司,456,000300,沪深300指数
23,000807,云南铝业股份有限公司,462,000300,沪深300指数
24,000858,宜宾五粮液股份有限公司,496,000300,沪深300指数
25,000876,新希望六和股份有限公司,507,000300,沪深300指数
26,000895,河南双汇投资发展股份有限公司,522,000300,沪深300指数
27,000938,紫光股份有限公司,567,000300,沪深300指数
28,000963,华东医药股份有限公司,584,000300,沪深300指数
29,000975,山金国际黄金股份有限公司,594,000300,沪深300指数
30,000977,浪潮电子信息产业股份有限公司,596,000300,沪深300指数
31,000983,山西焦煤能源集团股份有限公司,602,000300,沪深300指数
32,000999,华润三九医药股份有限公司,614,000300,沪深300指数
33,002001,浙江新和成股份有限公司,615,000300,沪深300指数
34,600000,上海浦东发展银行股份有限公司,1120,000300,沪深300指数
35,600009,上海国际机场股份有限公司,1131,000300,沪深300指数
36,600010,内蒙古包钢钢联股份有限公司,1133,000300,沪深300指数
37,600011,华能国际电力股份有限公司,1134,000300,沪深300指数
38,600015,华夏银行股份有限公司,1139,000300,沪深300指数
39,600016,中国民生银行股份有限公司,1141,000300,沪深300指数
40,600019,宝山钢铁股份有限公司,1144,000300,沪深300指数
41,600026,中远海运能源运输股份有限公司,1149,000300,沪深300指数
42,600028,中国石油化工股份有限公司,1151,000300,沪深300指数
43,600029,中国南方航空股份有限公司,1154,000300,沪深300指数
44,600030,中信证券股份有限公司,1157,000300,沪深300指数
45,600031,三一重工股份有限公司,1159,000300,沪深300指数
46,600036,招商银行股份有限公司,1164,000300,沪深300指数
47,600039,四川路桥建设集团股份有限公司,1168,000300,沪深300指数
48,600050,中国联合网络通信股份有限公司,1170,000300,沪深300指数
49,600061,国投资本股份有限公司,1183,000300,沪深300指数
50,600066,宇通客车股份有限公司,1188,000300,沪深300指数
51,600085,北京同仁堂股份有限公司,1207,000300,沪深300指数
52,600089,特变电工股份有限公司,1212,000300,沪深300指数
53,600104,上海汽车集团股份有限公司,1229,000300,沪深300指数
54,600111,中国北方稀土(集团)高科技股份有限公司,1236,000300,沪深300指数
55,600115,中国东方航空股份有限公司,1241,000300,沪深300指数
56,600150,中国船舶工业股份有限公司,1271,000300,沪深300指数
57,600160,浙江巨化股份有限公司,1280,000300,沪深300指数
58,600161,北京天坛生物制品股份有限公司,1281,000300,沪深300指数
